ISLAMIBANK,https://stocknow.com.bd/api/v1/instruments/ISLAMIBANK/history?resolution=D&additionalField=trade
CITYGENINS,https://stocknow.com.bd/api/v1/instruments/CITYGENINS/history?resolution=D&additionalField=trade
ADVENT,https://stocknow.com.bd/api/v1/instruments/ADVENT/history?resolution=D&additionalField=trade
PRAGATIINS,https://stocknow.com.bd/api/v1/instruments/PRAGATIINS/history?resolution=D&additionalField=trade
PREMIERBAN,https://stocknow.com.bd/api/v1/instruments/PREMIERBAN/history?resolution=D&additionalField=trade
FINEFOODS,https://stocknow.com.bd/api/v1/instruments/FINEFOODS/history?resolution=D&additionalField=trade
HWAWELLTEX,https://stocknow.com.bd/api/v1/instruments/HWAWELLTEX/history?resolution=D&additionalField=trade
KOHINOOR,https://stocknow.com.bd/api/v1/instruments/KOHINOOR/history?resolution=D&additionalField=trade
BATASHOE,https://stocknow.com.bd/api/v1/instruments/BATASHOE/history?resolution=D&additionalField=trade
PUBALIBANK,https://stocknow.com.bd/api/v1/instruments/PUBALIBANK/history?resolution=D&additionalField=trade
CRYSTALINS,https://stocknow.com.bd/api/v1/instruments/CRYSTALINS/history?resolution=D&additionalField=trade
AMBEEPHA,https://stocknow.com.bd/api/v1/instruments/AMBEEPHA/history?resolution=D&additionalField=trade
PRIMELIFE,https://stocknow.com.bd/api/v1/instruments/PRIMELIFE/history?resolution=D&additionalField=trade
AAMRATECH,https://stocknow.com.bd/api/v1/instruments/AAMRATECH/history?resolution=D&additionalField=trade
BERGERPBL,https://stocknow.com.bd/api/v1/instruments/BERGERPBL/history?resolution=D&additionalField=trade
SEAPEARL,https://stocknow.com.bd/api/v1/instruments/SEAPEARL/history?resolution=D&additionalField=trade
BATBC,https://stocknow.com.bd/api/v1/instruments/BATBC/history?resolution=D&additionalField=trade
BBSCABLES,https://stocknow.com.bd/api/v1/instruments/BBSCABLES/history?resolution=D&additionalField=trade
BEXIMCO,https://stocknow.com.bd/api/v1/instruments/BEXIMCO/history?resolution=D&additionalField=trade
BRACBANK,https://stocknow.com.bd/api/v1/instruments/BRACBANK/history?resolution=D&additionalField=trade
BXPHARMA,https://stocknow.com.bd/api/v1/instruments/BXPHARMA/history?resolution=D&additionalField=trade
IFIC,https://stocknow.com.bd/api/v1/instruments/IFIC/history?resolution=D&additionalField=trade
MPETROLEUM,https://stocknow.com.bd/api/v1/instruments/MPETROLEUM/history?resolution=D&additionalField=trade
OLYMPIC,https://stocknow.com.bd/api/v1/instruments/OLYMPIC/history?resolution=D&additionalField=trade
ORIONPHARM,https://stocknow.com.bd/api/v1/instruments/ORIONPHARM/history?resolution=D&additionalField=trade
POWERGRID,https://stocknow.com.bd/api/v1/instruments/POWERGRID/history?resolution=D&additionalField=trade
UNIQUEHRL,https://stocknow.com.bd/api/v1/instruments/UNIQUEHRL/history?resolution=D&additionalField=trade
UPGDCL,https://stocknow.com.bd/api/v1/instruments/UPGDCL/history?resolution=D&additionalField=trade
